number;name;population
01;Mitte;8196
02;SŸdstadt;7792
03;Vorderer Westen;16015
04;Wehlheiden;13994
05;Bad Wilhelmshšhe;12515
06;Brasselsberg;4152
07;SŸsterfeld / Hellebšhn;5724
08;Harleshausen;12806
09;Kirchditmold;10686
10;Rothenditmold;7003
11;Nord (Holland);15742
12;Philippinenhof / Warteberg;4142
13;Fasanenhof;8556
14;Wesertor;9607
15;Wolfsanger / Hasenhecke;7040
16;Bettenhausen;8522
17;Forstfeld;6989
01;Waldau;6463
19;Niederzwehren;11541
20;Oberzwehren;12751
21;Nordshausen;2086
22;Jungfernkopf;3879
23;Unterneustadt;4306
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
